fold,AUPRC,AUROC,F1,balanced_accuracy
0,0.17658454342198762,0.6151930077679437,0.027049873203719356,0.5051710840511932
1,0.2277009489875242,0.6584796686120733,0.02707057686110216,0.5047220841765929
2,0.2788386274098391,0.6727801938916275,0.01888679035662704,0.5037121821109498
3,0.24834200536310985,0.6567163944268131,0.14968252970390394,0.5297832674626887
4,0.3448173557995279,0.7059451717745202,0.04436173306193661,0.5092745646540467
mean±std,0.2553 ± 0.0624,0.6618 ± 0.0327,0.0534 ± 0.0546,0.5105 ± 0.0110
