fold,AUPRC,AUROC,F1,balanced_accuracy
0,0.17391023461246582,0.6085874068920013,0.0,0.5
1,0.23731475231101565,0.6694499794646916,0.0,0.5
2,0.27993037517069,0.671669070574534,0.00022680880018144704,0.5000456290806377
3,0.26862451055109515,0.6728594698732089,0.07213652284074819,0.5143457171881106
4,0.3419801794464328,0.7021541018210955,0.015833722000980637,0.503271253182787
mean±std,0.2604 ± 0.0615,0.6649 ± 0.0342,0.0176 ± 0.0312,0.5035 ± 0.0062
