fold,AUPRC,AUROC,F1,balanced_accuracy
0,0.14386606723664488,0.5558491621168584,0.23148007877594304,0.5437923207613956
1,0.18392411898335814,0.5811953540061721,0.2659872245747506,0.5556416188684461
2,0.2136583649641179,0.5950272797669908,0.3007171508447794,0.5610615912059305
3,0.20796759608008325,0.6036359808526154,0.297488408728809,0.5726289881108302
4,0.25383073755416263,0.6193659554712605,0.34974637877719306,0.5884649942848794
mean±std,0.2006 ± 0.0405,0.5910 ± 0.0240,0.2891 ± 0.0440,0.5643 ± 0.0170
