fold,AUPRC,AUROC,F1,balanced_accuracy
0,0.1621358963258478,0.595735367430842,0.23110528615115772,0.551602747370089
1,0.237559390977614,0.6701151055496757,0.305249343832021,0.597617361342182
2,0.2767761159681365,0.6714083940487064,0.35337028428392636,0.6227194840515159
3,0.2754578010247491,0.6861085105515561,0.34904429342436294,0.6353538266713299
4,0.33892260105889527,0.6996599648899923,0.40231871321556684,0.6401084029397467
mean±std,0.2582 ± 0.0648,0.6646 ± 0.0403,0.3282 ± 0.0643,0.6095 ± 0.0363
