fold,AUPRC,AUROC,F1,balanced_accuracy
0,0.15338207114147723,0.5868967711042155,0.22756892230576442,0.5505123024429707
1,0.23183874465912516,0.6630833269808467,0.3035900104058273,0.5964926130571083
2,0.2738945914628753,0.6696997279548088,0.35341279977295303,0.6229593517247174
3,0.27743731521023113,0.6862514322222454,0.35071335927367053,0.6357611374771319
4,0.34198314965141335,0.701853275521983,0.40521474750407804,0.6423722765731767
mean±std,0.2557 ± 0.0694,0.6616 ± 0.0444,0.3281 ± 0.0667,0.6096 ± 0.0374
