fold,AUPRC,AUROC,F1,balanced_accuracy
0,0.12446696323672438,0.5027262763438077,0.13931144915932747,0.5027262763438077
1,0.1432705991242525,0.5001724973445852,0.134735341293887,0.5001724973445852
2,0.1633113470332497,0.4992763026110366,0.14714807704217503,0.49927630261103667
3,0.1561331426664229,0.5002681093851141,0.15490889536927882,0.500268109385114
4,0.186613142190632,0.49904163510157995,0.16777967147016107,0.4990416351015799
mean±std,0.1548 ± 0.0231,0.5003 ± 0.0015,0.1488 ± 0.0131,0.5003 ± 0.0015
