fold,AUPRC,AUROC,F1,balanced_accuracy
0,0.1505804943238226,0.5757188904711932,0.10043397396156231,0.5110645386587986
1,0.21114959997129512,0.6342345080193263,0.13309894525364138,0.5237508353425664
2,0.24315795301950546,0.6372099124219424,0.2588918461166223,0.5595547953777045
3,0.2345508226108711,0.63845241784517,0.23818299087809822,0.553529953340108
4,0.33034732557158025,0.6904463620886724,0.38684730896489616,0.6248732164742039
mean±std,0.2340 ± 0.0649,0.6352 ± 0.0406,0.2235 ± 0.1134,0.5546 ± 0.0442
