fold,AUPRC,AUROC,F1,balanced_accuracy
0,0.1478538751208289,0.5502161261408146,0.22650401996118658,0.5322863881045712
1,0.18623193640599128,0.577243089418205,0.26230882044835535,0.5497065867482379
2,0.21716802201061103,0.5962004574265664,0.3012711245312424,0.5618943250712782
3,0.18984878535963046,0.5754422862935561,0.2853513350651043,0.5525853429015755
4,0.2545887608349377,0.6156712123181202,0.3473573226311135,0.5859261737502179
mean±std,0.1991 ± 0.0396,0.5830 ± 0.0245,0.2846 ± 0.0450,0.5565 ± 0.0196
