fold,AUPRC,AUROC,F1,balanced_accuracy
0,0.15536096179814618,0.5879985885014922,0.0814111261872456,0.5091652814669961
1,0.20883570190645923,0.632958242560635,0.1133174477098226,0.5195104845435518
2,0.26149720020046785,0.6556817930778559,0.2920737700179222,0.5772452223840119
3,0.24507772725254068,0.6540581766105307,0.269009829368963,0.5678833030541239
4,0.33821796516895697,0.699029178069639,0.3953564014502875,0.6317405508687228
mean±std,0.2418 ± 0.0676,0.6459 ± 0.0403,0.2302 ± 0.1308,0.5611 ± 0.0493
