fold,AUPRC,AUROC,F1,balanced_accuracy
0,0.13915536496174585,0.5195494949037665,0.2024793388429752,0.5102462128854242
1,0.199960029912479,0.6045527875804626,0.2742857142857143,0.5683516062516913
2,0.21737997738951598,0.5966891900741864,0.30091654606849977,0.5610521022282946
3,0.21955242741354092,0.6142674625259477,0.3033647595756094,0.5807750326589332
4,0.25911123288417204,0.6192803363256054,0.34905835213220776,0.5860433946236583
mean±std,0.2070 ± 0.0437,0.5909 ± 0.0408,0.2860 ± 0.0539,0.5613 ± 0.0302
