,AUROC,AUPRC,F1,Balanced Accuracy
LR,0.555366309360719,0.23166838311965532,0.3079966765532135,0.5393106950716958
XGB,0.7140572354836126,0.3917782252996355,0.4426392372269616,0.6554876827061452
LGBM,0.720401990922828,0.4007164221938219,0.44706085207270635,0.6603835168673076
EBM,0.7206274336455302,0.39871910639567604,0.4474203605920815,0.660212248918592
NeuralNet,0.7215279687919747,0.39808742437988887,0.44827601522560817,0.6606767860924232
