,AUROC,AUPRC,F1,Balanced Accuracy
EBM,0.7141825967774372,0.39004853095454006,0.4420665218552222,0.6554776909143062
PLTR,0.6394547482291969,0.3134026677664476,0.3849195175747337,0.6012862318096689
LR,0.7084924205652787,0.3791347636903569,0.43817778910830896,0.6523607207256763
XGB,0.7072592952036223,0.38293544829666315,0.43701943567079043,0.6504388704338522
LGBM,0.7135361399975498,0.391295108698464,0.4412680840285673,0.6550402863059752
NeuralNet,0.7148242319219003,0.3906446922210579,0.4422837742206767,0.6561075507308071
