,Demographic Parity Diff,Equalized Odds Diff,Max DI Deviation
income_bracket,0.2280923596636127,0.22071820240498286,0.2692978078570353
home_ownership,0.12883944660270552,0.7091670146930408,0.17939569484763251
dti_bracket,0.3165124405916824,0.2997181222448837,0.4012815982830533
purpose,0.6853238949707795,0.7342618384401114,1.358791389695265
emp_length,0.09726597939571746,0.08761632595518665,0.1685593310592468
