,AUROC,AUPRC,F1,Balanced Accuracy
LR,0.555366309360719,0.23166838311965532,0.3053357621455918,0.5391789918454328
XGB,0.7140572354836126,0.3917782252996355,0.4422710075857625,0.6534095952592311
LGBM,0.720401990922828,0.4007164221938219,0.4475666375227346,0.6586066912005338
