train_size,fold,train_score,val_score,metric
0.1,0,0.5899449695242928,0.15330439781363644,AUPRC
0.25,0,0.5563283818613955,0.14295491213967554,AUPRC
0.5,0,0.5075637428110633,0.145582410313881,AUPRC
0.75,0,0.46449246136363115,0.15508392277723138,AUPRC
1.0,0,0.4276982517950091,0.15338207114147723,AUPRC
0.1,1,0.5306536240435779,0.1872581236035634,AUPRC
0.25,1,0.4287516476804404,0.18739573938371956,AUPRC
0.5,1,0.35924357192411566,0.2094043182624209,AUPRC
0.75,1,0.3311665229466286,0.22524295466059974,AUPRC
1.0,1,0.29282731091006753,0.23183874465912516,AUPRC
0.1,2,0.41454396344636557,0.21731293998025758,AUPRC
0.25,2,0.3319928362909733,0.24315630200447785,AUPRC
0.5,2,0.2886040289801107,0.26375708764185907,AUPRC
0.75,2,0.27241806093081994,0.2660417592699194,AUPRC
1.0,2,0.27077530803182875,0.2738945914628753,AUPRC
0.1,3,0.3740029124117193,0.26841165789653026,AUPRC
0.25,3,0.35177780131053366,0.27775343021095267,AUPRC
0.5,3,0.32544171173554254,0.27684433605375675,AUPRC
0.75,3,0.3020423425988109,0.2767836355277819,AUPRC
1.0,3,0.2985743694822207,0.27743731521023113,AUPRC
0.1,4,0.3495321420189087,0.32899651002336316,AUPRC
0.25,4,0.32300376832429684,0.3382798452124266,AUPRC
0.5,4,0.30609659337881717,0.34185590387250564,AUPRC
0.75,4,0.2995524305011927,0.3413759489408543,AUPRC
1.0,4,0.29251573618267107,0.34198314965141335,AUPRC
